002272	American Micro-Fuel Device Corp.
ACB1EE	SHENZHEN FENDA TECHNOLOGY CO., LTD
F8ADCB	HMD Global Oy
D462EA	HUAWEI TECHNOLOGIES CO.,LTD
54BAD6	HUAWEI TECHNOLOGIES CO.,LTD
94DC4E	AEV, spol. s r. o.
1442FC	Texas Instruments
AC5D5C	FN-LINK TECHNOLOGY LIMITED
54DED0	Sevio Srl
6C5E3B	Cisco Systems, Inc
401920	Movon Corporation
D03745	TP-LINK TECHNOLOGIES CO.,LTD.
603A7C	TP-LINK TECHNOLOGIES CO.,LTD.
000178	MARGI Systems, Inc.
0CB771	ARRIS Group, Inc.
58C876	China Mobile (Hangzhou) Information Technology Co., Ltd.
2C1E4F	Chengdu Qianli Network Technology Co., Ltd.
009052	SELCOM ELETTRONICA S.R.L.
001A83	Pegasus Technologies Inc.
24166D	HUAWEI TECHNOLOGIES CO.,LTD
940B19	HUAWEI TECHNOLOGIES CO.,LTD
70C7F2	HUAWEI TECHNOLOGIES CO.,LTD
3894ED	NETGEAR
700433	California Things Inc.
DCA632	Raspberry Pi Trading Ltd
88F56E	HUAWEI TECHNOLOGIES CO.,LTD
BC97E1	Broadcom Limited
28D1B7	Shenzhen YOUHUA Technology Co., Ltd
C8C2FA	HUAWEI TECHNOLOGIES CO.,LTD
88B362	Nokia Shanghai Bell Co., Ltd.
0847D0	Nokia Shanghai Bell Co., Ltd.
089C86	Nokia Shanghai Bell Co., Ltd.
7C8956	Samsung Electronics Co.,Ltd
9C93E4	Private
88299C	Samsung Electronics Co.,Ltd
CC9093	Hansong Tehnologies
CC64A6	HUAWEI TECHNOLOGIES CO.,LTD
30317D	Hosiden Corporation
F0A968	Antailiye Technology Co.,Ltd
48E1E9	Chengdu Meross Technology Co., Ltd.
D81399	Hui Zhou Gaoshengda Technology Co.,LTD
54E019	Ring LLC
148430	MITAC COMPUTING TECHNOLOGY CORPORATION
B8A44F	Axis Communications AB
0024EB	ClearPath Networks, Inc.
50AF4D	zte corporation
C8EAF8	zte corporation
709F2D	zte corporation
383B26	Jiangsu Qinheng Co., Ltd.
5CFAFB	Acubit
9C7BEF	Hewlett Packard
742EDB	Perinet GmbH
201742	LG Electronics
CC8826	LG Innotek
EC5B73	Advanced & Wise Technology Corp.
848BCD	IEEE Registration Authority
14C03E	ARRIS Group, Inc.
C089AB	ARRIS Group, Inc.
D44DA4	Murata Manufacturing Co., Ltd.
F8E5CF	CGI IT UK LIMITED
6882F2	grandcentrix GmbH
D420B0	Mist Systems, Inc.
08EDED	Zhejiang Dahua Technology Co., Ltd.
6092F5	ARRIS Group, Inc.
0022AF	Safety Vision, LLC
A091A2	OnePlus Electronics (Shenzhen) Co., Ltd.
0080B5	UNITED NETWORKS INC.
1C697A	EliteGroup Computer Systems Co., LTD
4C1744	Amazon Technologies Inc.
B03055	China Mobile IOT Company Limited
905C34	Sirius Electronic Systems Srl
D46A35	Cisco Systems, Inc
D09C7A	Xiaomi Communications Co Ltd
C82C2B	IEEE Registration Authority
8020DA	Sagemcom Broadband SAS
68847E	FUJITSU LIMITED
003085	Cisco Systems, Inc
605F8D	eero inc.
C4B36A	Cisco Systems, Inc
70F754	AMPAK Technology,Inc.
6C8BD3	Cisco Systems, Inc
68974B	Shenzhen Costar Electronics Co. Ltd.
34E1D1	IEEE Registration Authority
0021B7	LEXMARK INTERNATIONAL, INC.
00A0B0	I-O DATA DEVICE,INC.
2479F3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
80A235	Edgecore Networks Corporation
30EA26	Sycada BV
9C497F	Integrated Device Technology (Malaysia) Sdn. Bhd.
C4E39F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
F89A78	HUAWEI TECHNOLOGIES CO.,LTD
88F872	HUAWEI TECHNOLOGIES CO.,LTD
EC5623	HUAWEI TECHNOLOGIES CO.,LTD
5486BC	Cisco Systems, Inc
402343	CHONGQING FUGUI ELECTRONICS CO.,LTD.
18F18E	ChipER Technology co. ltd
000422	Studio Technologies, Inc
80DA13	eero inc.
50EC50	Beijing Xiaomi Mobile Software Co., Ltd
6061DF	Z-meta Research LLC
7057BF	New H3C Technologies Co., Ltd
108286	Luxshare Precision Industry Co.,Ltd
14B457	Silicon Laboratories
DC962C	NST Audio Ltd
18022D	HUAWEI TECHNOLOGIES CO.,LTD
D8BC59	Shenzhen DAPU Microelectronics Co., Ltd
089798	COMPAL INFORMATION (KUNSHAN) CO., LTD.
246F28	Espressif Inc.
8C79F5	Samsung Electronics Co.,Ltd
48F8DB	HUAWEI TECHNOLOGIES CO.,LTD
00122A	VTech Telecommunications Ltd.
B0518E	Holl technology CO.Ltd.
2852E0	Layon international Electronic & Telecom Co.,Ltd
58CB52	Google, Inc.
7C6166	Amazon Technologies Inc.
989BCB	AVM Audiovisuelles Marketing und Computersysteme GmbH
94F7AD	Juniper Networks
6063F9	Ciholas, Inc.
AC8FF8	Nokia
6003A6	Inteno Broadband Technology AB
7C5259	Sichuan Jiuzhou Electronic Technology Co., Ltd.
44B295	SichuanÂ AI-LinkÂ TechnologyÂ Co.,Â Ltd.
9424E1	Alcatel-Lucent Enterprise
F8CA59	NetComm Wireless
88B291	Apple, Inc.
C42AD0	Apple, Inc.
CCD281	Apple, Inc.
200DB0	Shenzhen Four Seas Global Link Network Technology Co., Ltd.
D81EDD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
D43FCB	ARRIS Group, Inc.
5C7695	Technicolor CH USA Inc.
F84D33	Fiberhome Telecommunication Technologies Co.,LTD
C08ACD	Guangzhou Shiyuan Electronic Technology Company Limited
ACF6F7	LG Electronics (Mobile Communications)
48E6C0	SIMCom Wireless Solutions Co.,Ltd.
383C9C	Fujian Newland Payment Technology Co.,Ltd.
C02E25	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
107717	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
A86D5F	Raisecom Technology CO., LTD
58ECED	Integrated Device Technology (Malaysia) Sdn. Bhd.
005079	Private
100C6B	NETGEAR
C4F0EC	Fiberhome Telecommunication Technologies Co.,LTD
E80FC8	Universal Electronics, Inc.
E45D37	Juniper Networks
00EEAB	Cisco Systems, Inc
54A703	TP-LINK TECHNOLOGIES CO.,LTD.
907A58	Zegna-Daidong Limited
E009BF	SHENZHENâTONG BO WEIâTECHNOLOGY Co.,LTD
00131E	peiker acustic GmbH
846991	Nokia
001BF7	Lund IP Products AB
783607	Cermate Technologies Inc.
B00073	Wistron Neweb Corporation
D88DC8	Atil Technology Co., LTD
A8E2C1	Texas Instruments
909A77	Texas Instruments
04EE03	Texas Instruments
4C2498	Texas Instruments
7CD95C	Google, Inc.
C8AACC	Private
002167	HWA JIN T&I Corp.
000B86	Aruba, a Hewlett Packard Enterprise Company
DC31D1	vivo Mobile Communication Co., Ltd.
C8F750	Dell Inc.
D49234	NEC Corporation
0007CB	FREEBOX SAS
149FB6	GUANGDONG GENIUS TECHNOLOGY CO., LTD.
00115A	Ivoclar Vivadent AG
4CAEA3	Hewlett Packard Enterprise
1C2E1B	Suzhou Tremenet Communication Technology Co., Ltd.
1C24EB	Burlywood
001013	Kontron America, Inc.
2C2BF9	LG Innotek
D8C7C8	Aruba, a Hewlett Packard Enterprise Company
703A0E	Aruba, a Hewlett Packard Enterprise Company
204C03	Aruba, a Hewlett Packard Enterprise Company
58C6F0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
84A06E	Sagemcom Broadband SAS
A43EA0	iComm HK LIMITED
64C2DE	LG Electronics (Mobile Communications)
8C444F	HUMAX Co., Ltd.
006762	Fiberhome Telecommunication Technologies Co.,LTD
2CC407	machineQ
B4ED19	Pie Digital, Inc.
40DF02	LINE BIZ Plus
CCE194	Juniper Networks
144E2A	Ciena Corporation
84139F	zte corporation
F051EA	Fitbit, Inc.
5033F0	YICHEN (SHENZHEN) TECHNOLOGY CO.LTD
FC2BB2	Actiontec Electronics, Inc
E09F2A	Iton Technology Corp.
4CE19E	TECNO MOBILE LIMITED
AC5AEE	China Mobile Group Device Co.,Ltd.
70BC10	Microsoft Corporation
884A18	Opulinks
9C69B4	IEEE Registration Authority
500084	Siemens Canada
44B433	tide.co.,ltd
D8A6FD	Ghost Locomotion
DC21B9	Sentec Co.Ltd
6CDFFB	IEEE Registration Authority
247D4D	Texas Instruments
8850F6	Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd
E498BB	Phyplus Microelectronics Limited
60A11E	Wuhan Maxsine Electric Co.,Ltd.
C45BF7	ants
8CDF9D	NEC Corporation
5C415A	Amazon.com, LLC
705E55	Realme Chongqing MobileTelecommunications Corp Ltd
B0D568	Shenzhen Cultraview Digital Technology Co., Ltd
F00EBF	ZettaHash Inc.
703509	Cisco Systems, Inc
441AFA	New H3C Technologies Co., Ltd
04072E	VTech Electronics Ltd.
780ED1	TRUMPF Werkzeugmaschinen GmbH+Co.KG
44ECCE	Juniper Networks
F82F08	Molex CMS
441C12	Technicolor CH USA Inc.
4428A3	Jiangsu fulian  Communication Technology Co., Ltd.
10C595	Lenovo
203233	SHENZHEN BILIAN ELECTRONIC CO.ï¼LTD
6829DC	Ficosa Electronics S.L.U.
9454DF	YST CORP.
7CBC84	IEEE Registration Authority
F80DF1	Sontex SA
A49426	Elgama-Elektronika Ltd.
E4F14C	Private
A8B456	Cisco Systems, Inc
2CA9F0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
549B72	Ericsson AB
A047D7	Best IT World (India) Pvt Ltd
6899CD	Cisco Systems, Inc
1040F3	Apple, Inc.
586B14	Apple, Inc.
BCB863	Apple, Inc.
2C1CF6	Alien Green LLC
6C2B59	Dell Inc.
44E66E	Apple, Inc.
C0E862	Apple, Inc.
F40616	Apple, Inc.
0CFE5D	IEEE Registration Authority
3C8D20	Google, Inc.
601D91	Motorola Mobility LLC, a Lenovo Company
D4C94B	Motorola Mobility LLC, a Lenovo Company
08351B	Shenzhen Jialihua Electronic Technology Co., Ltd
AC1585	silergy corp
AC5093	Magna Electronics Europe GmbH & Co. OHG
70BBE9	Xiaomi Communications Co Ltd
50A0A4	Nokia
00D02D	Resideo
806940	LEXAR CO.,LIMITED
64F81C	Huawei Technologies Co., Ltd.
1098C3	Murata Manufacturing Co., Ltd.
9CC8FC	ARRIS Group, Inc.
B07E11	Texas Instruments
10C753	Qingdao Intelligent&Precise Electronics Co.,Ltd.
F4951B	Hefei Radio Communication Technology Co., Ltd
6C3845	Fiberhome Telecommunication Technologies Co.,LTD
2C6104	SHENZHEN FENGLIAN TECHNOLOGY CO., LTD.
BC9325	Ningbo Joyson Preh Car Connect Co.,Ltd.
D0B60A	Xingluo Technology Company  Limited
049226	ASUSTek COMPUTER INC.
E8ADA6	Sagemcom Broadband SAS
0C1C19	LONGCONN ELECTRONICS(SHENZHEN) CO.,LTD
90E710	New H3C Technologies Co., Ltd
302952	Hillstone Networks Inc
E013B5	vivo Mobile Communication Co., Ltd.
E0795E	Wuxi Xiaohu Technology Co.,Ltd.
00B1E3	Cisco Systems, Inc
A41194	Lenovo
00CB00	Private
DCF401	Dell Inc.
0C4101	Ruichi Auto Technology (Guangzhou) Co., Ltd.
00B771	Cisco Systems, Inc
E4B2FB	Apple, Inc.
2CCA0C	WITHUS PLANET
84326F	GUANGZHOU AVA ELECTRONICS TECHNOLOGY CO.,LTD
C89C13	Inspiremobile
8C85E6	Cleondris GmbH
807D14	HUAWEI TECHNOLOGIES CO.,LTD
20283E	HUAWEI TECHNOLOGIES CO.,LTD
A4FC77	Mega Well Limited
4C569D	Apple, Inc.
38539C	Apple, Inc.
402619	Apple, Inc.
6CE85C	Apple, Inc.
049162	Microchip Technology Inc.
F83880	Apple, Inc.
2C79D7	Sagemcom Broadband SAS
00B4F5	DongGuan Siyoto Electronics Co., Ltd
BC3F4E	Teleepoch Ltd
1838AE	CONSPIN SOLUTION
04CF8C	XIAOMI Electronics,CO.,LTD
0C7512	Shenzhen Kunlun TongTai Technology  Co.,Ltd.
7483C2	Ubiquiti Networks Inc.
E063DA	Ubiquiti Networks Inc.
50579C	Seiko Epson Corporation
54278D	NXP (China) Management Ltd.
B0BE76	TP-LINK TECHNOLOGIES CO.,LTD.
4447CC	Hangzhou Hikvision Digital Technology Co.,Ltd.
4CD98F	Dell Inc.
B0AE25	Varikorea
4C1B86	Arcadyan Corporation
ECC40D	Nintendo Co.,Ltd
440049	Amazon Technologies Inc.
E86A64	LCFC(HeFei) Electronics Technology co., ltd
10A24E	GOLD3LINK ELECTRONICS CO., LTD
CCC5E5	Dell Inc.
6CC374	Texas Instruments
684749	Texas Instruments
F8D9B8	Open Mesh, Inc.
7C696B	Atmosic Technologies
5CD20B	Yytek Co., Ltd.
70037E	Technicolor CH USA Inc.
D003DF	Samsung Electronics Co.,Ltd
C423A2	PT. Emsonic Indonesia
B4CB57	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
4C1265	ARRIS Group, Inc.
00500C	e-Tek Labs, Inc.
485F99	Cloud Network Technology (Samoa) Limited
8834FE	Bosch Automotive Products (Suzhou) Co. Ltd
88F7BF	vivo Mobile Communication Co., Ltd.
D87D7F	Sagemcom Broadband SAS
00051A	3COM EUROPE LTD
08004E	3COM EUROPE LTD
00301E	3COM EUROPE LTD
005004	3COM
000103	3COM
58B568	SECURITAS DIRECT ESPAÃA, SAU
484AE9	Hewlett Packard Enterprise
846A66	Sumitomo Kizai  Co.,Ltd.
18D717	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
80B624	IVS
DCF505	AzureWave Technology Inc.
CCF0FD	China Mobile (Hangzhou) Information Technology Co., Ltd.
8489EC	IEEE Registration Authority
88108F	HUAWEI TECHNOLOGIES CO.,LTD
F4631F	HUAWEI TECHNOLOGIES CO.,LTD
A49B4F	HUAWEI TECHNOLOGIES CO.,LTD
00073A	INVENTEL
00266C	INVENTEC CORPORATION
008CFA	INVENTEC CORPORATION
5CFB7C	Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd
FC039F	Samsung Electronics Co.,Ltd
02C08C	3COM
0057C1	LG Electronics (Mobile Communications)
7C240C	Telechips, Inc.
00203D	Honeywell Environmental & Combustion Controls
A4D990	Samsung Electronics Co.,Ltd
006087	KANSAI ELECTRIC CO., LTD.
DCF719	Cisco Systems, Inc
A0950C	China Mobile IOT Company Limited
D4741B	Beijing HuaDa ZhiBao Electronic System Co.,Ltd.
001BC0	Juniper Networks
2C15E1	Phicomm (Shanghai) Co., Ltd.
30D16B	Liteon Technology Corporation
98AE71	VVDN Technologies Pvt Ltd
A456CC	Technicolor CH USA Inc.
AC6E1A	SHENZHEN GONGJIN ELECTRONICS CO.,LT
0080EB	COMPCONTROL B.V.
0002EB	Pico Communications
342EB6	HUAWEI TECHNOLOGIES CO.,LTD
AC9232	HUAWEI TECHNOLOGIES CO.,LTD
000FB0	Compal Electronics INC.
00023F	Compal Electronics INC.
68A8E1	Wacom Co.,Ltd.
30D32D	devolo AG
BCF2AF	devolo AG
E0AF4F	Deutsche Telekom AG
B869F4	Routerboard.com
283A4D	Cloud Network Technology (Samoa) Limited
B87C6F	NXP (China) Management Ltd.
305DA6	ADVALY SYSTEM Inc.
BC30D9	Arcadyan Corporation
0479B7	Texas Instruments
C0D0FF	China Mobile IOT Company Limited
88DF9E	New H3C Technologies Co., Ltd
2C7CE4	Wuhan Tianyu Information Industry Co., Ltd.
5803FB	Hangzhou Hikvision Digital Technology Co.,Ltd.
144802	THE YEOLRIM Co.,Ltd.
40313C	XIAOMI Electronics,CO.,LTD
FC4596	COMPAL INFORMATION (KUNSHAN) CO., LTD.
A0E534	Stratec Biomedical AG
444B5D	GE Healthcare
001555	DFM GmbH
1C7508	COMPAL INFORMATION (KUNSHAN) CO., LTD.
001B38	COMPAL INFORMATION (KUNSHAN) CO., LTD.
00235A	COMPAL INFORMATION (KUNSHAN) CO., LTD.
24D76B	Syntronic AB
C4FEE2	AMICCOM Electronics Corporation
780CF0	Cisco Systems, Inc
0C8C24	SHENZHEN BILIAN ELECTRONIC CO.ï¼LTD
8C6D77	HUAWEI TECHNOLOGIES CO.,LTD
E8C57A	Ufispace Co., LTD.
E01283	Shenzhen Fanzhuo Communication Technology Co., Lt
A0CF5B	Cisco Systems, Inc
002421	MICRO-STAR INT'L CO., LTD.
0060D1	CASCADE COMMUNICATIONS
84C9C6	SHENZHEN GONGJIN ELECTRONICS CO.,LT
88B66B	easynetworks
24F57E	HWH CO., LTD.
8CA048	Beijing NeTopChip Technology Co.,LTD
24D3F2	zte corporation
D469A5	Miura Systems Ltd.
8C8126	ARCOM
D47C44	IEEE Registration Authority
805E4F	FN-LINK TECHNOLOGY LIMITED
8417EF	Technicolor CH USA Inc.
3856B5	Peerbridge Health Inc
7C96D2	Fihonest communication co.,Ltd
C042D0	Juniper Networks
D0C5D8	LATECOERE
20A60C	Xiaomi Communications Co Ltd
488AD2	MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
DCE838	CK Telecom (Shenzhen) Limited
A8D498	Avira Operations GmbH & Co. KG
505967	Intent Solutions Inc
000680	Card Access, Inc.
3C576C	Samsung Electronics Co.,Ltd
841766	WEIFANG GOERTEK ELECTRONICS CO.,LTD
2C4D79	WEIFANG GOERTEK ELECTRONICS CO.,LTD
000C42	Routerboard.com
0026BD	JTEC Card &amp; Communication Co., Ltd
60D02C	Ruckus Wireless
14579F	HUAWEI TECHNOLOGIES CO.,LTD
B44326	HUAWEI TECHNOLOGIES CO.,LTD
78D294	NETGEAR
709FA9	TECNO MOBILE LIMITED
0C01DB	Infinix mobility limited
08C5E1	SAMSUNG ELECTRO-MECHANICS(THAILAND)
1866C7	Shenzhen Libre Technology Co., Ltd
5CB3F6	Human, Incorporated
2C4835	IEEE Registration Authority
482AE3	Wistron InfoComm(Kunshan)Co.,Ltd.
FCA6CD	Fiberhome Telecommunication Technologies Co.,LTD
44C874	China Mobile Group Device Co.,Ltd.
74C14F	HUAWEI TECHNOLOGIES CO.,LTD
B0EB57	HUAWEI TECHNOLOGIES CO.,LTD
1869DA	China Mobile Group Device Co.,Ltd.
F85C4D	Nokia
2C584F	ARRIS Group, Inc.
F04B3A	Juniper Networks
54BF64	Dell Inc.
A85B6C	Robert Bosch Gmbh, CM-CI2
C8B1EE	Qorvo
00FCBA	Cisco Systems, Inc
00CBB4	SHENZHEN ATEKO PHOTOELECTRICITY CO.,LTD
4CC00A	vivo Mobile Communication Co., Ltd.
9CE82B	vivo Mobile Communication Co., Ltd.
7079B3	Cisco Systems, Inc
D818D3	Juniper Networks
149B2F	JiangSu ZhongXie Intelligent Technology co., LTD
3835FB	Sagemcom Broadband SAS
48DD9D	ITEL MOBILE LIMITED
A075EA	BoxLock, Inc.
F04CD5	Maxlinear, Inc
0001AE	Trex Enterprises
00E009	Stratus Technologies
E4EA83	SHENZHEN GONGJIN ELECTRONICS CO.,LT
74EC42	Fiberhome Telecommunication Technologies Co.,LTD
D4FC13	Fiberhome Telecommunication Technologies Co.,LTD
807D3A	Espressif Inc.
ECAF97	GIT
A0B045	Halong Mining
E0BAB4	Arrcus, Inc
589B0B	Shineway Technologies, Inc.
D8160A	Nippon Electro-Sensory Devices
10C07C	Blu-ray Disc Association
40A677	Juniper Networks
E4B021	Samsung Electronics Co.,Ltd
9C7F57	UNIC Memory Technology Co Ltd
B4E01D	CONCEPTION ELECTRONIQUE
1C0042	NARI Technology Co., Ltd.
4434A7	ARRIS Group, Inc.
3CE1A1	Universal Global Scientific Industrial Co., Ltd.
F898EF	HUAWEI TECHNOLOGIES CO.,LTD
58F987	HUAWEI TECHNOLOGIES CO.,LTD
A8F5AC	HUAWEI TECHNOLOGIES CO.,LTD
58BAD4	HUAWEI TECHNOLOGIES CO.,LTD
701D08	99IOT Shenzhen co.,ltd
7412BB	Fiberhome Telecommunication Technologies Co.,LTD
001027	L-3 COMMUNICATIONS EAST
BC2643	Elprotronic Inc.
04E229	Qingdao Haier Technology Co.,Ltd
348B75	LAVA INTERNATIONAL(H.K) LIMITED
9CE895	New H3C Technologies Co., Ltd
00583F	PC Aquarius
903D68	G-Printec, Inc.
1094BB	Apple, Inc.
781D4A	zte corporation
94E1AC	Hangzhou Hikvision Digital Technology Co.,Ltd.
34E894	TP-LINK TECHNOLOGIES CO.,LTD.
F86FC1	Apple, Inc.
28FF3C	Apple, Inc.
F099B6	Apple, Inc.
88E9FE	Apple, Inc.
38892C	Apple, Inc.
749EAF	Apple, Inc.
94BF2D	Apple, Inc.
68CAE4	Cisco Systems, Inc
00BE3B	HUAWEI TECHNOLOGIES CO.,LTD
7CA177	HUAWEI TECHNOLOGIES CO.,LTD
242E02	HUAWEI TECHNOLOGIES CO.,LTD
78B6EC	Scuf Gaming International LLC
8035C1	Xiaomi Communications Co Ltd
58B3FC	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
2047DA	Xiaomi Communications Co Ltd
2429FE	KYOCERA Corporation
7C49EB	XIAOMI Electronics,CO.,LTD
C43306	China Mobile Group Device Co.,Ltd.
08DFCB	Systrome Networks
A4933F	HUAWEI TECHNOLOGIES CO.,LTD
28AC9E	Cisco Systems, Inc
68D482	SHENZHEN GONGJIN ELECTRONICS CO.,LT
984562	Shanghai Baud Data Communication Co.,Ltd.
E4C483	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
001FBA	Boyoung Tech
A433D7	MitraStar Technology Corp.
B0ACD2	zte corporation
200F70	FOXTECH
202D23	Collinear Networks Inc.
90834B	BEIJING YUNYI TIMES TECHNOLOGY CO,.LTD
18502A	SOARNEX
A8367A	frogblue TECHNOLOGY GmbH
6CE4DA	NEC Platforms, Ltd.
10E7C6	Hewlett Packard
1831BF	ASUSTek COMPUTER INC.
C8FAE1	ARQ Digital LLC
DCA333	Shenzhen YOUHUA Technology Co., Ltd
788C54	Ping Communication
B8AF67	Hewlett Packard
C098DA	China Mobile IOT Company Limited
F00FEC	HUAWEI TECHNOLOGIES CO.,LTD
AC075F	HUAWEI TECHNOLOGIES CO.,LTD
C048E6	Samsung Electronics Co.,Ltd
882E5A	storONE
007147	Amazon Technologies Inc.
00BE75	Cisco Systems, Inc
64DB8B	Hangzhou Hikvision Digital Technology Co.,Ltd.
78257A	LEO Innovation Lab
10A4B9	Baidu Online Network Technology (Beijing) Co., Ltd
501CB0	Cisco Systems, Inc
04AC44	Holtek Semiconductor Inc.
F4DCA5	DAWON DNS
80CE62	Hewlett Packard
801F12	Microchip Technology Inc.
506CBE	InnosiliconTechnology Ltd
247E12	Cisco Systems, Inc
04C241	Nokia
3C479B	Theissen Training Systems, Inc.
606BFF	Nintendo Co.,Ltd
8CF710	AMPAK Technology, Inc.
307BAC	New H3C Technologies Co., Ltd
785DC8	LG Electronics
3C0461	ARRIS Group, Inc.
883D24	Google, Inc.
E8C1B8	Nanjing Bangzhong Electronic Commerce Limited
D8D775	Sagemcom Broadband SAS
E8330D	Xaptec GmbH
D460E3	Sercomm Corporation.
B4A8B9	Cisco Systems, Inc
50DCE7	Amazon Technologies Inc.
649829	Integrated Device Technology (Malaysia) Sdn. Bhd.
081DC4	Thermo Fisher Scientific Messtechnik GmbH
785364	SHIFT GmbH
38E60A	Xiaomi Communications Co Ltd
40CBC0	Apple, Inc.
C4618B	Apple, Inc.
CC6EA4	Samsung Electronics Co.,Ltd
803A59	AT&T
588D64	Xi'an Clevbee Technology Co.,Ltd
005D73	Cisco Systems, Inc
606D3C	Luxshare Precision Industry Company Limited
44F034	Kaonmedia CO., LTD.
002790	Cisco Systems, Inc
34BA38	PAL MOHAN ELECTRONICS PVT LTD
9829A6	COMPAL INFORMATION (KUNSHAN) CO., LTD.
CC4D38	Carnegie Technologies
08E689	Apple, Inc.
DC56E7	Apple, Inc.
A816D0	Samsung Electronics Co.,Ltd
A46CF1	Samsung Electronics Co.,Ltd
08AED6	Samsung Electronics Co.,Ltd
DCBFE9	Motorola Mobility LLC, a Lenovo Company
B42D56	Extreme Networks, Inc.
4064A4	THE FURUKAWA ELECTRIC CO., LTD
6CB2AE	Cisco Systems, Inc
B0982B	Sagemcom Broadband SAS
34FA9F	Ruckus Wireless
F065C2	Yanfeng Visteon Electronics Technology (Shanghai) Co.,Ltd.
70B7E2	Jiangsu Miter Technology Co.,Ltd.
808DB7	Hewlett Packard Enterprise
A09D86	Alcatel-Lucent Shanghai Bell Co., Ltd
00C0FF	Seagate Cloud Systems Inc
D45DDF	PEGATRON CORPORATION
F8B568	IEEE Registration Authority
2C6B7D	Texas Instruments
88D171	BEGHELLI S.P.A
A09DC1	China Dragon Technology Limited
2C4205	Lytx
A825EB	Cambridge Industries(Group) Co.,Ltd.
34E380	Genexis B.V.
5C5819	Jingsheng Technology Co., Ltd.
B8CA04	Holtek Semiconductor Inc.
C4C563	TECNO MOBILE LIMITED
80B708	Blue Danube Systems, Inc
